source,innovation
A-Skills exchange programs,Engineering
A-Startups/Spinoffs,Engineering
A-Joint Ventures,Funding
A-Collaborator pull,Marketing
A-Forums to define problems and approach,Marketing
A-New academic majors/research centers,Marketing
A-Data Sharing,Research
A-Lab Research,Research
G-Open Government IP,Engineering
G-Skills exchange programs,Engineering
G-Standard Setting,Engineering
G-Commercialization Funds,Funding
G-Direct R&D Funding,Funding
G-Infrastructure creation,Funding
G-Loan guarantees,Funding
G-Loans and debt financing,Funding
G-Research Grants,Funding
G-Tax credits and incentives,Funding
G-Collaborator Pull,Marketing
G-Forums to define problems and approach,Marketing
G-Gauranteed purchases,Marketing
G-Law changes,Marketing
G-National Strategy,Marketing
G-Regulatory approval and oversight,Marketing
G-Trade agreements to open new markets,Marketing
G-Workforce development programs,Marketing
G-Data Sharing,Research
G-Lab Research,Research
IBuy-Increased purchases,Funding
IBuy-Demand Pull,Marketing
I-Increase manufacturing capacity,Engineering
I-Mergers & Acquisitions,Engineering
I-Repurposing existing production lines,Engineering
I-Skills exchange programs,Engineering
I-Standard Setting,Engineering
I-Startups/Spinoffs,Engineering
I-Direct R&D Funding,Funding
IFin-Startups/Spinoffs,Engineering
IFin-Legal Advice,Funding
IFin-Loans and debt financing,Funding
IFin-Venture Capital,Funding
IFin-Market Research,Marketing
IFin-Shareholder advocacy,Marketing
I-Joint Ventures,Funding
I-Loans and debt financing,Funding
I-Research Grants,Funding
I-Sales of goods/services,Funding
I-Stock sales,Funding
I-Venture Capital,Funding
I-Advertising,Marketing
I-Collaborator pull,Marketing
I-Forums to define problems and approach,Marketing
I-Shareholder advocacy,Marketing
I-Workforce development programs,Marketing
I-Data Sharing,Research
I-Lab Research,Research
OAssoc-Skills exchange programs,Engineering
OAssoc-Standard Setting,Engineering
OAssoc-Philanthropic donors,Funding
OAssoc-Forums to define problems and approach,Marketing
OAssoc-Data Sharing,Research
